job_id,job_family,task_type,script,array_size,vcpus,memory_mib,timeout_hours,queue_tier,spot_ok,depends_on,env,expected_artifacts,notes
m3_dd_global,dd_global,model_fit,Code/03_fit_m3.R,1,4,64000,30,spot,true,m1_stier_11_promoted,"","Data/processed/m3_fit.rds",Legacy/global density-dependence branch; only useful as sensitivity unless updated to Stier obs layer.
m3_v5,dd_global,archived_model_fit,Code/03_fit_m3_v5.R,1,4,64000,30,spot,false,none,"","Data/processed/m3_v5_fit.rds;Output/posteriors/loo_m3_v5.rds",Archived locally for sampler pathologies; rerun only for debugging.
m5_v5,predators,model_fit,Code/03_fit_m5_v5.R,1,4,64000,30,spot,true,predator_data_done,"","Data/processed/m5_v5_fit.rds;Output/posteriors/loo_m5_v5.rds",Predator branch; should be revised after predator exposure data product.
m5_combined,predators,model_fit,Code/03_fit_m5_combined.R,1,4,64000,30,spot,true,predator_data_done,"","Data/processed/m5_combined_fit.rds;Output/posteriors/fit_m5_combined.rds;Output/posteriors/loo_m5_combined.rds","Combined predator branch; exploratory legacy branch, not Stier-aligned."
m6_timevarying,time_varying,planned_model_fit,Code/03_fit_m6_timevarying.R,1,4,64000,36,spot,false,m1_stier_11_promoted,"","Data/processed/m6_timevarying_fit.rds","Planned only: script is not implemented yet; do not submit through broad model_fit runs."
smoke_cloud_pipeline,smoke_test,smoke_fit,cloud/smoke_stan_pipeline.R,1,1,8000,1,spot,true,none,"STAN_CHAINS=1;STAN_ITER=80;STAN_WARMUP=40;STAN_CORES=1;HERRING_STAN_PREFLIGHT_FILE=inst/stan/cloud_pipeline_smoke.stan;HERRING_R_STAN_PREFLIGHT_COMPILE=1","Output/cloud_smoke/smoke_cloud_pipeline_summary.csv;cloud/job_status/smoke_cloud_pipeline.status",Minimal cloud-only RStan compile/sample/upload smoke test.
smoke_m1_stier_obs_hier_reduced,smoke_test,real_smoke,Code/03_fit_m1_stier_obs_hier.R,1,2,16000,2,spot,true,smoke_cloud_pipeline_done,"HERRING_SMOKE=1;STAN_CHAINS=1;STAN_ITER=200;STAN_WARMUP=100;STAN_CORES=1;HERRING_SKIP_POSTFIT=1","Data/processed/m1_stier_obs_hier_fit.rds;cloud/job_status/smoke_m1_stier_obs_hier_reduced.status",Reduced real-model smoke test after the toy cloud pipeline passes.
smoke_m5_stier_predation_pressure_reduced,smoke_test,real_smoke,Code/03_fit_m5_stier_predation_pressure.R,1,2,16000,2,spot,true,predator_data_done,"HERRING_SMOKE=1;STAN_CHAINS=1;STAN_ITER=200;STAN_WARMUP=100;STAN_CORES=1;HERRING_SKIP_POSTFIT=1","Data/processed/m5_stier_predation_pressure_smoke_fit.rds;cloud/job_status/smoke_m5_stier_predation_pressure_reduced.status",Reduced real-model smoke test for predator-pressure branch.
smoke_m5_stier_predator_demand_total_reduced,smoke_test,real_smoke,Code/03_fit_m5_stier_predator_demand_total.R,1,2,16000,2,spot,true,predator_data_done,"HERRING_SMOKE=1;STAN_CHAINS=1;STAN_ITER=200;STAN_WARMUP=100;STAN_CORES=1;HERRING_SKIP_POSTFIT=1","Data/processed/m5_stier_predator_demand_total_smoke_fit.rds;cloud/job_status/smoke_m5_stier_predator_demand_total_reduced.status",Reduced real-model smoke test for predator-demand branch.
smoke_m5_stier_doherty_mp_covariate_reduced,smoke_test,planned_real_smoke,Code/03_fit_m5_stier_doherty_mp_covariate.R,1,2,16000,2,spot,true,predator_data_done,"HERRING_SMOKE=1;STAN_CHAINS=1;STAN_ITER=200;STAN_WARMUP=100;STAN_CORES=1;HERRING_SKIP_POSTFIT=1;DOHERTY_MP_COVARIATE=pred_mortality_mid_detrended_z","Data/processed/m5_stier_doherty_mp_covariate_smoke_fit.rds;cloud/job_status/smoke_m5_stier_doherty_mp_covariate_reduced.status",Do not submit until the detrended baseline-anchored branch has a faster local smoke or stronger bridge-screen justification.
smoke_m5_stier_doherty_proxy_removals_reduced,smoke_test,real_smoke,Code/03_fit_m5_stier_doherty_proxy_removals.R,1,2,16000,2,spot,true,predator_data_done,"HERRING_SMOKE=1;STAN_CHAINS=1;STAN_ITER=200;STAN_WARMUP=100;STAN_CORES=1;HERRING_SKIP_POSTFIT=1;DOHERTY_PROXY_MP_COLUMN=Mp_mid;DOHERTY_PROXY_PRED_SCALE=0.05","Data/processed/m5_stier_doherty_proxy_removals_smoke_fit.rds;cloud/job_status/smoke_m5_stier_doherty_proxy_removals_reduced.status",Reduced real-model smoke test for low-vulnerability scaled HG Doherty-style proxy-removal branch.
